Date,Store,Product,Category,Sales,Quantity
29-01-2023,Store_D,Product_3,Category_2,430.24,11
09-10-2023,Store_B,Product_1,Category_2,212.26,35
09-08-2023,Store_C,Product_1,Category_1,538.42,45
03-05-2023,Store_B,Product_2,Category_2,670.34,9
08-11-2023,Store_A,Product_3,Category_3,562.97,10
27-05-2023,Store_E,Product_3,Category_1,251.85,29
09-04-2023,Store_C,Product_4,Category_3,660.08,8
09-02-2023,Store_D,Product_4,Category_2,388.39,7
17-05-2023,Store_D,Product_2,Category_1,164.68,9
03-10-2023,Store_E,Product_5,Category_2,424.08,10
27-02-2023,Store_D,Product_5,Category_1,517.92,1
03-05-2023,Store_D,Product_3,Category_1,84.28,18
10-03-2023,Store_C,Product_2,Category_1,380.75,10
29-03-2023,Store_A,Product_5,Category_1,485.28,11
11-07-2023,Store_A,Product_2,Category_1,578.24,10
27-02-2023,Store_E,Product_3,Category_2,474.46,7
13-08-2023,Store_E,Product_4,Category_1,23.24,7
14-03-2023,Store_E,Product_2,Category_3,173.21,3
10-09-2023,Store_D,Product_3,Category_3,487.51,16
11-09-2023,Store_A,Product_4,Category_3,725.4,11
19-06-2023,Store_E,Product_1,Category_2,461.77,8
11-12-2023,Store_D,Product_3,Category_3,833.47,2
10-09-2023,Store_D,Product_1,Category_1,899.77,10
13-04-2023,Store_C,Product_3,Category_1,113.52,15
10-11-2023,Store_A,Product_2,Category_1,100.22,1
30-10-2023,Store_E,Product_4,Category_1,215.39,10
04-09-2023,Store_B,Product_4,Category_3,626.93,1
08-12-2023,Store_C,Product_5,Category_2,916.2,6
26-11-2023,Store_B,Product_2,Category_1,854.68,19
05-07-2023,Store_D,Product_1,Category_3,56.17,14
16-04-2023,Store_A,Product_2,Category_1,423.41,18
09-07-2023,Store_E,Product_4,Category_2,197.18,10
16-12-2023,Store_B,Product_5,Category_2,427.54,20
25-10-2023,Store_B,Product_4,Category_1,379.06,14
07-10-2023,Store_A,Product_1,Category_1,34.02,2
09-04-2023,Store_C,Product_1,Category_1,967.96,1
14-03-2023,Store_A,Product_2,Category_3,953.63,1
06-02-2023,Store_D,Product_1,Category_2,175.91,14
14-05-2023,Store_D,Product_4,Category_1,678.09,1
01-01-2023,Store_A,Product_5,Category_3,218.17,9
02-11-2023,Store_D,Product_5,Category_1,497.34,9
15-07-2023,Store_A,Product_5,Category_1,84.53,14
26-03-2023,Store_C,Product_4,Category_2,347.33,18
30-08-2023,Store_D,Product_2,Category_3,411.55,18
29-09-2023,Store_D,Product_5,Category_2,55.4,6
08-07-2023,Store_B,Product_2,Category_1,329.71,16
26-03-2023,Store_E,Product_4,Category_1,179.01,13
16-12-2023,Store_A,Product_5,Category_2,858.7,9
07-05-2023,Store_A,Product_3,Category_2,875.1,19
12-07-2023,Store_A,Product_3,Category_1,970.56,2
14-12-2023,Store_B,Product_2,Category_3,52.44,2
20-07-2023,Store_B,Product_4,Category_3,30.25,2
19-07-2023,Store_D,Product_3,Category_1,164.81,15
18-12-2023,Store_C,Product_5,Category_1,532.68,13
31-01-2023,Store_A,Product_4,Category_2,568.47,8
30-09-2023,Store_E,Product_3,Category_1,622.56,9
04-07-2023,Store_B,Product_5,Category_1,481.98,4
08-11-2023,Store_C,Product_4,Category_3,387.23,11
